Name_Molregno compounds DOPAMINE
4778 Clc1cc2c(cc1O)C(CN(CC2)C)c1ccccc1 7
62944 Fc1cc(ccc1F)C1CC(=O)NC(C)=C1C(=O)NCCCN1CCC(CC1)(C#N)c1ccc(F)cc1C#N 7.04
63064 Fc1cc(ccc1F)C1CC(=O)NC(C)=C1C(=O)NCCCN1CCC(CC1)(C#N)c1ccc(F)cc1 7.2
63103 Fc1cc(ccc1F)C1CC(=O)NC(C)=C1C(=O)NCCCN1CCC(CC1)c1ccc(F)cc1C#N 7.24
63107 Fc1cc(ccc1F)C1CC(=O)NC(C)=C1C(=O)NCCCN1CCC(CC1)c1ccc(F)cc1 7.72
91699 Clc1ccc(cc1)C(CCN(CCCCc1nc[nH]c1)C)c1ncccc1 8.15
120674 Fc1ccc(cc1)CCN1CCC(CC1)C(O)c1cccc(OC)c1OC 7.18
147632 Clc1cc\2c(Sc3c(cccc3)/C/2=C/CCN(C)C)cc1 8.43
162216 Fc1ccc(cc1)\C=C(/CN1CCN(CC1)CC1ON=C2C1COc1cc(OC)c(OC)cc12)\C 7.13
171683 O(CCCN1CCN(CC1)C(OCC)=O)c1ccc(cc1)-c1ccc([NH+](O)[O-])cc1 7.09
264710 N(CCCC1c2c(Cc3c1cccc3)cccc2)C 8.52
264763 N(CC1c2c(Cc3c1cccc3)cccc2)(C)C 7.6
265452 N(CCCC1c2c(Cc3c1cccc3)cccc2)(C)C 9.3
300586 Fc1ccc(cc1)C(N1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(=O)N)c1ccc(F)cc1 8.01
300587 Fc1ccc(cc1)C(N1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(OCC)=O)c1ccc(F)cc1 8.23
300588 Fc1ccc(cc1)C(N1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(OC(C)C)=O)c1ccc(F)cc1 8.02
300589 Fc1ccc(cc1)C(N1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(OC)=O)c1ccc(F)cc1 8.3
300605 Fc1ccc(cc1)C(N1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(OCC(C)C)=O)c1ccc(F)cc1 8.12
300606 Fc1ccc(cc1)C(N1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(OCc1ccccc1)=O)c1ccc(F)cc1 7.75
310677 Clc1ccc(cc1)C(N1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(=O)N)c1ccccc1 7.52
310724 Clc1ccc(cc1)C(N1CCN(CC1)CCCOc1ccc(cc1)C#CCCN(O)C(=O)N)c1ccccc1 8.05
310785 Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCN(CC1)CCOc1ccc(cc1)C#CCCN(O)C(=O)N 7.72
310886 Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCN(CC1)CCCOc1ccc(cc1)C#CCCN(O)C(=O)N 7.85
310887 Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCN(CC1)CCCCOc1ccc(cc1)C#CCCN(O)C(=O)N 7.3
323877 Fc1cc2C3OC(CC3c3c(Oc2cc1)cccc3)CN(C)C 7.8
